Country,Year,Key_Indicator,Sector,Emissions_MT_CO2,Population_Millions,GDP_USD_Billions,Climate_Policy,Latitude,Longitude,Event,Source_Credibility
CountryG,2000,CO2 Emissions,Marine,980.6969403402653,107.33136302749374,325.70901204168945,Coastal Protection Law,33.722658992226165,-97.47688344253508,Heatwave,0.7500537996130185
CountryD,2014,Greenhouse Gases,Residential,877.4419546273556,133.51521318467042,4661.037967451559,Reforestation Act,10.498461736725925,-96.25642891212107,Landslide,0.6638173142523768
CountryH,2007,Water Scarcity,Transportation,873.7341428899076,239.3718412667843,3337.9127954854607,Paris Agreement,14.238307721316659,14.77277367235996,Heatwave,0.9298053282654224
CountryE,2010,Air Quality Index,Residential,1011.3606519055751,87.04810086855066,3757.1781331348834,Air Quality Act,50.381293478148756,116.05844987317644,Heatwave,0.8642738714460687
CountryG,2011,CO2 Emissions,Energy,845.1539524836983,46.96529573416055,1626.701523952922,Renewable Target,48.57366724298032,-22.1005828236039,Drought,0.6728085969566371
CountryJ,2011,Sea Level Rise,Agriculture,1324.9199165272578,97.38314453978424,4243.7022591589775,Emission Reduction,55.7569410202448,-44.99505393377932,Typhoon,0.7181987711534785
CountryC,2003,Temperature Change,Forestry,1029.5911333278768,255.6125935689309,1372.0560901715448,Reforestation Act,52.725771795537476,27.739224031450306,Heatwave,0.8833859903308257
CountryG,2015,Water Scarcity,Residential,843.0967144885128,31.251965882622265,108.05440985100346,Climate Adaptation Plan,44.1587781619909,111.9166361417081,Storm Surge,0.8434871821253687
CountryH,2003,Air Quality Index,Energy,1253.1565244170852,297.5503416448733,1944.4333163514004,Wildlife Conservation,12.616642865033143,87.60123653960216,Drought,0.8680245024505036
CountryE,2004,Biodiversity Loss,Forestry,928.9125191535456,164.59585518366043,2896.7312566994597,Climate Adaptation Plan,49.14243089933287,128.82573879063716,Typhoon,0.7544203857745263
CountryD,2023,Sea Level Rise,Agriculture,472.15915928850956,295.5294944702927,2445.6538040310606,Sustainable Agriculture,52.275540542028025,-124.13216836738195,Flood,0.8507666919247584
CountryH,2004,Biodiversity Loss,Residential,350.28763135602827,282.0039445153634,4324.173098625325,Renewable Target,49.954107288597726,-100.65688237468183,Wildfire,0.7352728030023697
CountryH,2007,CO2 Emissions,Forestry,270.87528921088426,138.58004569222044,616.485901185218,Paris Agreement,35.4239517654013,28.46161847532173,Storm Surge,0.6739420209283687
CountryC,2009,Temperature Change,Transportation,1354.2100581918473,63.554867008577986,2813.7348591052555,Coastal Protection Law,21.64509193247408,83.34987422680092,Cold Snap,0.8214369621944759
CountryF,2016,Water Scarcity,Public Services,1079.6963761071954,53.64100908671584,2613.5988141224466,Renewable Target,52.26649878443634,-55.83647100024069,Landslide,0.9416048739595779
CountryE,2008,Water Scarcity,Transportation,1409.1987353382651,75.79686234163746,1478.8256126435988,Emission Reduction,46.35814048700692,-67.80511711110313,Cold Snap,0.7087103399883653
